id,window_rain_1d,window_rain_3d,window_rain_7d
GLC57,,,
GLC78,,,
GLC126,,,
GLC141,,,
GLC147,,,
GLC148,,,
GLC212,,,
GLC213,,,
GLC215,,,
GLC220,,,
GLC247,,,
GLC256,,,
GLC255,,,
GLC258,,,
GLC269,,,
GLC285,,,
GLC322,,,
GLC545,,,
GLC580,,,
GLC585,,,
GLC587,,,
GLC594,,,
GLC692,,,
GLC714,,,
GLC731,,,
GLC755,,,
GLC760,,,
GLC870,,,
GLC869,,,
GLC868,,,
GLC1061,,,
GLC1084,,,
GLC1109,,,
GLC1112,,,
GLC1108,,,
GLC1125,,,
GLC1127,,,
GLC1129,,,
GLC1168,,,
GLC1222,,,
GLC1596,,,
GLC1611,,,
GLC1613,,,
GLC1755,,,
GLC1756,,,
GLC1771,,,
GLC1770,,,
GLC1775,,,
GLC1857,,,
GLC1930,,,
GLC1929,,,
GLC1935,,,
GLC1934,,,
GLC1954,,,
GLC1961,,,
GLC1994,,,
GLC1996,,,
GLC2025,,,
GLC2026,,,
GLC2045,,,
