id,location,lat,lon,state
GLC2205,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",23.7365,92.7146,Mizoram
GLC2243,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagalan",25.70223725,94.04619681,Nagaland
GLC2249,"Kiphire-Tuensang rd, Nagaland",26.0814,94.803,Nagaland
GLC2248,"Noklak-Tuensang road, Nagaland",26.222,94.9152,Nagaland
GLC2253,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.31006064,94.48265093,Manipur
GLC2282,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",26.1984,94.8158,Nagaland
GLC2283,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",24.8961,93.4957,Manipur
GLC2281,"Kisima, Nagaland",25.61560252,94.11603493,Nagaland
GLC2296,"many locations around Namchi, Sikkim",27.167,88.3652,Sikkim
GLC2304,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",25.5718,94.1211,Nagaland
GLC2344,"NH-53 at Nungba police station, Kambirong(?), Manipur",24.7505,93.4221,Assam
GLC2343,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",25.4786,94.1327,Nagaland
GLC2345,"Daragaon(?), Gangtok city, Sikkim",27.3392,88.6188,Sikkim
GLC2392,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",27.3702,88.7334,Sikkim
GLC2405,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",28.3036,95.4112,Arunachal Pradesh
GLC2411,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",27.0011,93.7273,Arunachal Pradesh
GLC2424,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",23.591,92.9296,Mizoram
GLC2421,"road to Muanna Godown, Zuangtui, Mizoram",23.75406693,92.74128531,Mizoram
GLC2422,"Hunthar Veng, Mizoram",23.74182634,92.7141905,Mizoram
GLC2426,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",22.7176,92.8416,Mizoram
GLC2423,"road to Kanan Veng from Hunthar Veng, Mizoram",23.73504471,92.71060943,Mizoram
GLC2425,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",23.3439,93.0748,Mizoram
GLC2436,"Taithu village, Churanchandpur district, Mizoram, Manipur",24.3069,93.125,Mizoram
GLC2437,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",23.7527,92.694,Mizoram
GLC2566,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",25.4769,94.1351,Nagaland
GLC2567,"Phek, Manipur",25.6633,94.4703,Manipur
GLC2570,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",24.837,93.9128,Manipur
GLC2569,"Bungte Chiru village(?), Senapati district, Manipur",25.2745,94.0212,Nagaland
GLC2568,"Nungba, Tamenglong, Manipur",24.7679,93.4108,Assam
GLC2578,"NH-39 in Karong area, Manipur",25.3179,94.0462,Nagaland
GLC2575,"road between Haflong and Lanka, Assam",25.5242,92.9914,Assam
GLC2577,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",25.5265,93.8673,Nagaland
GLC2576,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",25.4788,94.1399,Nagaland
GLC2579,"Lower Pezielietsie(Tinpati), Kohima, Manipur",25.682,94.1076,Nagaland
GLC2587,"Lower Chandmari area, PWD department, Kohima, Manipur",25.6623,94.1072,Nagaland
GLC2743,"Tawang Monastery, Arunachal Pradesh",27.5798729,91.85672387,Arunachal Pradesh
GLC3269,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district",28.0791,96.5242,Arunachal Pradesh
GLC3525,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",25.0672,93.4093,Assam
GLC3532,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",25.0888,92.8551,Assam
GLC3560,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",24.8286,93.5935,Manipur
GLC3556,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",25.1555,93.8474,Manipur
GLC3633,Mokokchung,26.3186,94.5121,Nagaland
GLC3637,"Lasumi village in Phek district, Kohima",25.51614662,94.2341227,Nagaland
GLC3663,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",25.6682,94.1099,Nagaland
GLC3662,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",25.03561729,94.0144205,Manipur
GLC3672,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",25.5125,93.3613,Assam
GLC3683,NH-61 between Botsa and Chiechama,25.8782,94.1739,Nagaland
GLC3738,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",24.8063,93.9482,Manipur
GLC3741,Maram (80 km north of Imphal),25.4191,94.1079,Nagaland
GLC3760,"NH-61, 1 km before reaching Botsa",25.6703,94.1095,Nagaland
