id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source
GLC1756,2010-04-17,"Nam Nang, Gangtok",27.322,88.6087,0,landslide,downpour,Sikkim,1km,nasa_glc
GLC1771,2010-04-20,"Raj Bhavan Guwahati, Assam",26.1978,91.7665,0,landslide,downpour,Assam,exact,nasa_glc
GLC1770,2010-04-20,"Kharghuli, Guwahati, Assam",26.1965,91.763,0,landslide,downpour,Assam,1km,nasa_glc
GLC1775,2010-04-21,Arunachal Pradesh,27.8965,96.1779,12,landslide,downpour,Arunachal Pradesh,unknown,nasa_glc
GLC1857,2010-05-11,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",25.3433,92.2897,0,landslide,downpour,Meghalaya,25km,nasa_glc
GLC1930,2010-05-31,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh",28.4298,95.8776,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC1929,2010-05-31,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",27.3543,88.6428,0,landslide,downpour,Sikkim,5km,nasa_glc
GLC1935,2010-06-03,"atharamura hills, Highway 44, Tripura",23.8986,91.7599,0,landslide,downpour,Tripura,5km,nasa_glc
GLC1934,2010-06-03,Rongpur village under Bhairabhnagar panchayat in Karimganj district,24.6005,92.3814,2,landslide,downpour,Assam,25km,nasa_glc
GLC1954,2010-06-07,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",24.7543,93.5039,0,landslide,rain,Manipur,50km,nasa_glc
GLC1961,2010-06-09,"Ishok Chingphu(?), Bishnupur, Assam",25.8833,91.2,0,landslide,downpour,Meghalaya,50km,nasa_glc
GLC1994,2010-06-16,"rails between Jatinga and Longrangjao(?), Assam",25.0633,92.8025,0,landslide,downpour,Assam,25km,nasa_glc
GLC1996,2010-06-17,"Shayoung Ward(?), Longleng, Nagaland",26.4333,94.8833,0,landslide,downpour,Nagaland,25km,nasa_glc
GLC2025,2010-06-28,"Police CID complex(?), Shillong, Meghalaya",25.5728,91.885,1,landslide,downpour,Meghalaya,5km,nasa_glc
GLC2026,2010-06-28,"Borsorsa(?), West Khasi Hills, Meghalaya",25.4916,91.2698,0,landslide,downpour,Meghalaya,50km,nasa_glc
GLC2045,2010-07-06,"Tuensang, Nagaland",26.2363,94.8133,0,mudslide,monsoon,Nagaland,5km,nasa_glc
GLC2044,2010-07-06,"Kiphire,  Nagaland",25.8877,94.7861,0,mudslide,monsoon,Nagaland,5km,nasa_glc
GLC2042,2010-07-06,"Zunheboto, Nagaland",26.0093,94.5238,0,mudslide,monsoon,Nagaland,5km,nasa_glc
GLC2098,2010-07-19,"Jahjon ward(?), Mon town, Nagaland",26.7215,95.0283,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2106,2010-07-20,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",26.8716,94.9921,0,landslide,downpour,Nagaland,25km,nasa_glc
GLC2113,2010-07-21,"Singtam-Mangan rd, Sikkim",27.3773,88.559,0,landslide,downpour,Sikkim,25km,nasa_glc
GLC2112,2010-07-21,"Zang(?), east Sikkim",27.5509,88.6475,0,landslide,downpour,Sikkim,unknown,nasa_glc
GLC2140,2010-07-25,"road between Halfong and Redzol(?) or Silchar, Assam",25.0477,92.801,0,landslide,downpour,Assam,25km,nasa_glc
GLC2164,2010-07-29,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677,0,landslide,downpour,Manipur,25km,nasa_glc
GLC2166,2010-07-29,"Highway 53 at Tupul, Tamenglong district",24.9786,93.5027,0,landslide,downpour,Assam,10km,nasa_glc
GLC2182,2010-07-31,Dimapur-Imphal highway (NH 39) near Manipur,24.9356,93.8443,0,landslide,rain,Manipur,25km,nasa_glc
GLC2205,2010-08-06,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",23.7365,92.7146,0,landslide,downpour,Mizoram,1km,nasa_glc
GLC2243,2010-08-13,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagalan",25.70223725,94.04619681,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2249,2010-08-14,"Kiphire-Tuensang rd, Nagaland",26.0814,94.803,0,landslide,downpour,Nagaland,25km,nasa_glc
GLC2248,2010-08-14,"Noklak-Tuensang road, Nagaland",26.222,94.9152,0,landslide,downpour,Nagaland,25km,nasa_glc
GLC2253,2010-08-15,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.31006064,94.48265093,0,landslide,downpour,Manipur,25km,nasa_glc
GLC2282,2010-08-19,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",26.1984,94.8158,0,landslide,downpour,Nagaland,1km,nasa_glc
GLC2283,2010-08-19,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",24.8961,93.4957,0,mudslide,downpour,Manipur,5km,nasa_glc
GLC2281,2010-08-19,"Kisima, Nagaland",25.61560252,94.11603493,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC2296,2010-08-20,"many locations around Namchi, Sikkim",27.167,88.3652,0,complex,downpour,Sikkim,10km,nasa_glc
GLC2304,2010-08-21,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",25.5718,94.1211,0,landslide,downpour,Nagaland,10km,nasa_glc
